auc=0.9774|aupr=0.0517
Saving model: Best epoch = 17 | metrics_Best = 0.0517
auc=0.9772|aupr=0.0503
auc=0.9774|aupr=0.0506
auc=0.9783|aupr=0.0548
Saving model: Best epoch = 20 | metrics_Best = 0.0548
auc=0.9777|aupr=0.0514
auc=0.9776|aupr=0.0580
Saving model: Best epoch = 22 | metrics_Best = 0.0580
auc=0.9779|aupr=0.0585
Saving model: Best epoch = 23 | metrics_Best = 0.0585
auc=0.9789|aupr=0.0559
auc=0.9789|aupr=0.0556
auc=0.9790|aupr=0.0552
auc=0.9789|aupr=0.0619
Saving model: Best epoch = 27 | metrics_Best = 0.0619
auc=0.9798|aupr=0.0576
auc=0.9799|aupr=0.0579
auc=0.9806|aupr=0.0601
auc=0.9807|aupr=0.0603
auc=0.9802|aupr=0.0586
auc=0.9807|aupr=0.0604
auc=0.9810|aupr=0.0619
Saving model: Best epoch = 34 | metrics_Best = 0.0619
auc=0.9804|aupr=0.0608
auc=0.9805|aupr=0.0592
auc=0.9789|aupr=0.0570
auc=0.9810|aupr=0.0621
Saving model: Best epoch = 38 | metrics_Best = 0.0621
auc=0.9800|aupr=0.0640
Saving model: Best epoch = 39 | metrics_Best = 0.0640
auc=0.9810|aupr=0.0663
Saving model: Best epoch = 40 | metrics_Best = 0.0663
auc=0.9808|aupr=0.0657
auc=0.9815|aupr=0.0674
Saving model: Best epoch = 42 | metrics_Best = 0.0674
auc=0.9803|aupr=0.0641
auc=0.9812|aupr=0.0662
auc=0.9815|aupr=0.0670
auc=0.9805|aupr=0.0636
auc=0.9811|aupr=0.0657
auc=0.9811|aupr=0.0645
auc=0.9816|aupr=0.0673
auc=0.9508|aupr=0.0097
Saving model: Best epoch = 0 | metrics_Best = 0.0097
auc=0.9559|aupr=0.0123
Saving model: Best epoch = 1 | metrics_Best = 0.0123
auc=0.9590|aupr=0.0150
Saving model: Best epoch = 2 | metrics_Best = 0.0150
auc=0.9615|aupr=0.0187
Saving model: Best epoch = 3 | metrics_Best = 0.0187
auc=0.9634|aupr=0.0246
Saving model: Best epoch = 4 | metrics_Best = 0.0246
auc=0.9646|aupr=0.0341
Saving model: Best epoch = 5 | metrics_Best = 0.0341
auc=0.9652|aupr=0.0418
Saving model: Best epoch = 6 | metrics_Best = 0.0418
auc=0.9648|aupr=0.0405
auc=0.9628|aupr=0.0316
auc=0.9631|aupr=0.0316
auc=0.9638|aupr=0.0342
auc=0.9646|aupr=0.0378
auc=0.9653|aupr=0.0419
Saving model: Best epoch = 12 | metrics_Best = 0.0419
auc=0.9657|aupr=0.0457
Saving model: Best epoch = 13 | metrics_Best = 0.0457
auc=0.9656|aupr=0.0487
Saving model: Best epoch = 14 | metrics_Best = 0.0487
auc=0.9646|aupr=0.0487
auc=0.9641|aupr=0.0497
Saving model: Best epoch = 16 | metrics_Best = 0.0497
auc=0.9628|aupr=0.0514
Saving model: Best epoch = 17 | metrics_Best = 0.0514
auc=0.9634|aupr=0.0530
Saving model: Best epoch = 18 | metrics_Best = 0.0530
auc=0.9633|aupr=0.0559
Saving model: Best epoch = 19 | metrics_Best = 0.0559
auc=0.9637|aupr=0.0615
Saving model: Best epoch = 20 | metrics_Best = 0.0615
auc=0.9669|aupr=0.0746
Saving model: Best epoch = 21 | metrics_Best = 0.0746
auc=0.9679|aupr=0.0797
Saving model: Best epoch = 22 | metrics_Best = 0.0797
auc=0.9688|aupr=0.0795
auc=0.9688|aupr=0.0793
auc=0.9682|aupr=0.0837
Saving model: Best epoch = 25 | metrics_Best = 0.0837
auc=0.9695|aupr=0.0793
auc=0.9696|aupr=0.0823
auc=0.9698|aupr=0.0834
auc=0.9699|aupr=0.0818
auc=0.9707|aupr=0.0839
Saving model: Best epoch = 30 | metrics_Best = 0.0839
auc=0.9714|aupr=0.0844
Saving model: Best epoch = 31 | metrics_Best = 0.0844
auc=0.9714|aupr=0.0825
auc=0.9721|aupr=0.0846
Saving model: Best epoch = 33 | metrics_Best = 0.0846
auc=0.9724|aupr=0.0810
auc=0.9732|aupr=0.0862
Saving model: Best epoch = 35 | metrics_Best = 0.0862
auc=0.9733|aupr=0.0849
auc=0.9734|aupr=0.0882
Saving model: Best epoch = 37 | metrics_Best = 0.0882
auc=0.9744|aupr=0.0927
Saving model: Best epoch = 38 | metrics_Best = 0.0927
auc=0.9741|aupr=0.0915
auc=0.9745|aupr=0.0885
auc=0.9746|aupr=0.0909
auc=0.9759|aupr=0.0916
auc=0.9744|aupr=0.0893
auc=0.9756|aupr=0.0924
auc=0.9746|aupr=0.0957
Saving model: Best epoch = 45 | metrics_Best = 0.0957
auc=0.9731|aupr=0.0917
auc=0.9755|aupr=0.0907
auc=0.9754|aupr=0.0892
auc=0.9753|aupr=0.0915
